City Name,"Latitude (North + , degrees)","Longitude (West - , degrees)",Mean Temperature (°C)
LANGARA,54.255,-133.058,10.4
LANGARA ISLAND RCS,54.255,-133.058,10.2
MASSET A,54,-132.167,9.7
ROSE SPIT (AUT),54.159,-131.661,11
SANDSPIT A,53.254,-131.813,10.9
SANDSPIT AIRPORT AUTO,53.249,-131.813,10.7
SANDSPIT,53.254,-131.814,10.8
ADDENBROKE ISLAND,51.604,-127.864,11.8
BELLA BELLA,52.185,-128.157,10.8
BELLA COOLA A,52.388,-126.596,11
BOAT BLUFF,52.643,-128.524,11.7
BONILLA ISLAND,53.493,-130.638,12
BONILLA ISLAND (AUT),53.493,-130.639,11.1
CATHEDRAL POINT (AUT),52.187,-127.471,11.5
CUMSHEWA ISLAND,53.03,-131.602,11.1
DRYAD POINT,52.185,-128.112,11.9
EGG ISLAND,51.247,-127.835,10.6
GREEN ISLAND,54.569,-130.708,10.6
GREY ISLET (AUT),54.58,-130.698,10.9
HERBERT ISLAND (AUT),50.94,-127.632,11.5
HOLLAND ROCK,54.172,-130.361,11.1
IVORY ISLAND,52.27,-128.407,12.2
KITIMAT TOWNSITE,54.054,-128.634,8.2
LUCY ISLAND LIGHTSTATION,54.296,-130.609,11.1
PRINCE RUPERT,54.286,-130.445,9.9
STEWART A,55.936,-129.985,7.8
TERRACE PCC,54.502,-128.625,9.2
TERRACE A,54.469,-128.578,8.2
TRIPLE ISLAND,54.295,-130.88,11.3
KITIMAT HATCHERY,54.044,-128.682,9.3
EQUITY SILVER,54.199,-126.277,3.7
HOUSTON,54.396,-126.668,6.5
SMITHERS,54.825,-127.183,6.4
SMITHERS A,54.825,-127.183,6.6
SMITHERS AIRPORT AUTO,54.824,-127.189,6.5
SUSKWA VALLEY,55.289,-127.171,4.5
OOTSA LAKESKINS LAKE CLIMATE,53.772,-125.997,6.5
PEMBERTON AIRPORT CS,50.306,-122.734,10.5
PUNTZI MOUNTAIN (AUT),52.114,-124.136,5.4
TATLAYOKO LAKE RCS,51.675,-124.403,6.6
BURNS LAKE DECKER LAKE,54.383,-125.959,4.9
FORT ST JAMES,54.455,-124.286,6.1
FORT ST JAMES AUTO,54.455,-124.286,6.7
HORSEFLY LAKE GRUHS LAKE,52.363,-121.364,6.9
MCLEESE LAKE GRANITE MT,52.531,-122.286,5
PRINCE GEORGE,53.884,-122.678,5.8
PRINCE GEORGE AIRPORT AUTO,53.889,-122.672,6
PRINCE GEORGE STP,53.88,-122.768,3.8
QUESNEL,53.026,-122.51,7
QUESNEL AIRPORT AUTO,53.027,-122.506,7
SPOKIN LAKE 4E,52.184,-121.686,5.3
WILLIAMS LAKE A,52.183,-122.054,6.5
VANDERHOOF,54.033,-124.017,6.9
108 MILE HOUSE ABEL LAKE,51.623,-121.263,7.4
ABBOTSFORD A,49.025,-122.36,12.9
AGASSIZ RCS,49.243,-121.76,13.4
AGASSIZ CDA,49.243,-121.76,13.7
WHISTLER - NESTERS,50.129,-122.955,8.9
BLACKCOMB BASE SLIDING CENTER,50.102,-122.936,8.5
BURNABY SIMON FRASER U,49.278,-122.918,10.9
CALLAGHAN VALLEY,50.144,-123.111,8.7
CLOVERDALE EAST,49.109,-122.698,13.3
CHILLIWACK R HATCHERY,49.08,-121.704,11.7
DELTA BURNS BOG,49.126,-123.002,11.3
DELTA TSAWWASSEN BEACH,49.011,-123.093,12.1
FORT LANGLEY TELEGRAPH TRAIL,49.145,-122.551,12.9
MISSION WEST ABBEY,49.153,-122.271,13
N VANC GROUSE MTN RESORT,49.381,-123.078,11.2
PITT MEADOWS CS,49.208,-122.69,12.7
POINT ATKINSON,49.33,-123.265,12.9
RICHMOND NATURE PARK,49.171,-123.093,12.1
SANDHEADS CS,49.106,-123.303,12.7
SUMAS CANAL,49.113,-122.11,13.4
VANCOUVER SEA ISLAND CCG,49.183,-123.187,12
VANCOUVER INTL A,49.195,-123.184,11.8
VANCOUVER HARBOUR CS,49.295,-123.122,12.8
WEST VANCOUVER AUT,49.347,-123.193,13
WHISTLER ROUNDHOUSE,50.068,-122.947,3.2
WHITE ROCK CAMPBELL SCIENTIFIC,49.018,-122.784,12.7
HOPE A,49.368,-121.498,12.9
HOPE AIRPORT,49.37,-121.493,12.8
HOPE SLIDE,49.267,-121.233,8.8
LILLOOET,50.684,-121.934,11.1
LYTTON A,50.224,-121.582,11.5
LYTTON RCS,50.224,-121.582,11.5
HEDLEY N,49.364,-120.069,9.7
JELLICOE,49.673,-120.333,7.7
KELOWNA,49.957,-119.378,8.9
KELOWNA UBCO,49.941,-119.4,10
KELOWNA MWS0,49.95,-119.4,9.8
MERRITT,50.113,-120.778,8.8
MERRITT STP,50.114,-120.801,9.3
OKANAGAN CENTRE,50.056,-119.445,11.2
OLIVER STP,49.179,-119.545,13.1
OSOYOOS CS,49.028,-119.441,12.1
PEACHLAND,49.783,-119.717,11.4
PENTICTON A,49.463,-119.602,10.6
PRINCETON A,49.468,-120.513,8.5
VERNON AUTO,50.223,-119.194,9.8
VERNON NORTH,50.344,-119.271,9.6
WINFIELD,50.037,-119.415,10.7
PRINCETON CS,49.465,-120.51,8.3
SUMMERLAND CS,49.563,-119.649,10.5
MIDWAY,49.004,-118.772,12.2
BILLINGS,49.017,-118.228,10.9
CASTLEGAR A,49.296,-117.633,10.5
CASTLEGAR BCHPA DAM,49.343,-117.774,10.9
DUNCAN LAKE DAM,50.239,-116.972,21
KASLO,49.913,-116.921,10
NAKUSP CS,50.269,-117.817,8.8
NELSON NE,49.586,-117.206,10.9
NEW DENVER,49.996,-117.37,9.9
NELSON CS,49.491,-117.305,11.2
WARFIELD RCS,49.112,-117.739,11
CRESTON CAMPBELL SCIENTIFIC,49.082,-116.501,11.1
NELSON RIXEN CREEK,49.512,-117.399,10.1
CRANBROOK A,49.612,-115.782,8.1
CRANBROOK AIRPORT AUTO,49.618,-115.789,8.1
FORDING RIVER COMINCO,50.149,-114.855,5.9
FT STEELE DANDY CRK,49.524,-115.461,8.8
KIMBERLEY PCC,49.632,-115.962,8.4
KOOTENAY NP WEST GATE,50.631,-116.061,8.6
SPARWOOD,49.745,-114.883,7.5
SPARWOOD CS,49.745,-114.884,7.3
WASA,49.807,-115.631,8.6
ASHCROFT,50.708,-121.281,11.1
BLUE RIVER A,52.129,-119.29,6.6
BLUE RIVER CS,52.129,-119.29,6.6
BUFFALO LAKE,51.709,-121.083,6.1
CLEARWATER AUTO,51.653,-120.082,7.7
CLINTON A,51.266,-121.685,5.3
CLINTON RCS,51.146,-121.508,6.5
CRISS CREEK,51.03,-120.728,5.9
DARFIELD,51.297,-120.183,7.8
KAMLOOPS A,50.703,-120.449,10
KAMLOOPS AUT,50.702,-120.442,10.1
RED LAKE,50.935,-120.8,7.3
SILVER CREEK,50.545,-119.35,8.4
VAVENBY,51.576,-119.778,7.5
KAMLOOPS PRATT ROAD,50.6,-120.2,8.3
SALMON ARM CS,50.703,-119.291,9
GOLDEN A,51.299,-116.982,7.2
GOLDSTREAM RIVER,51.63,-118.425,7.1
MICA DAM,52.053,-118.585,7.3
REVELSTOKE A,50.967,-118.183,8.1
REVELSTOKE AIRPORT AUTO,50.958,-118.176,8.5
YOHO PARK,51.443,-116.345,3.9
YOHO NP EMERALD LAKE,51.433,-116.541,5.3
YOHO NP OHARA LAKE,51.356,-116.337,5.8
CHETWYND A,55.687,-121.627,6.3
DAWSON CREEK A,55.742,-120.183,5.5
FORT ST. JOHN A,56.238,-120.74,5.8
MACKENZIE,55.299,-123.133,5.6
MACKENZIE AIRPORT AUTO,55.305,-123.138,5.7
SIKANNI CHIEF,57.25,-122.718,3
DEASE LAKE A,58.422,-130.031,2
FORT NELSON A,58.836,-122.597,1.9
FORT NELSON,58.841,-122.574,-2.3
FORT NELSON UA,58.841,-122.573,2.8
DEASE LAKE (AUT),58.426,-130.025,2
ATLIN,59.567,-133.7,4.2
PLEASANT CAMP,59.45,-136.367,3.4
BURWASH A,61.371,-139.04,-0.9
BURWASH AIRPORT AUTO BC,61.367,-139.017,-1.1
CARMACKS CS,62.115,-136.192,0.8
FARO (AUT),62.208,-133.376,0.9
HAINES JUNCTION,60.773,-137.58,1.1
HERSCHEL ISLAND,69.568,-138.913,-4.6
IVVAVIK NAT. PARK,69.164,-140.15,-9.8
KOMAKUK BEACH,69.612,-140.197,-7.4
MACMILLAN PASS,63.244,-130.037,-3.9
MARGARET LAKE,68.801,-140.848,-12
MAYO A,63.616,-135.868,0.9
MAYO ROAD,60.876,-135.183,2.1
OLD CROW RCS,67.571,-139.839,-4.3
ROCK RIVER,66.981,-136.218,-6.8
SHINGLE POINT A,68.95,-137.217,-6.6
DAWSON,64.061,-139.127,-0.3
TESLIN (AUT),60.167,-132.733,1.4
WATSON LAKE (AUT),60.116,-128.832,0.5
WHITEHORSE A,60.709,-135.067,2.8
WHITEHORSE AUTO,60.733,-135.098,2.8
CAPE PARRY A,70.167,-124.717,-5.7
COLVILLE LAKE,67.021,-126.123,-5.6
DELINE CS,65.209,-123.433,-2.9
DEADMEN VALLEY,61.257,-124.468,0.1
FORT GOOD HOPE CS,66.242,-128.644,-1.9
FORT LIARD,60.233,-123.467,3.2
FORT PROVIDENCE,61.317,-117.602,1.4
FORT RELIANCE (AUT),62.711,-109.168,-2.6
FORT SIMPSON CLIMATE,61.76,-121.237,0
FORT SIMPSON A,61.76,-121.237,0.1
FORT SMITH A,60.02,-111.962,1.1
FORT SMITH CLIMATE,60.026,-111.929,1.6
HANBURY RIVER,63.6,-105.133,-9.2
HAY RIVER A,60.84,-115.783,1.6
HAY RIVER CLIMATE,60.839,-115.777,2.1
INNER WHALEBACKS,61.92,-113.726,1.6
INUVIK CLIMATE,68.317,-133.517,-5.7
LAC LA MARTRE,63.134,-117.245,-1.7
NORMAN WELLS A,65.281,-126.799,-1.6
NORMAN WELLS CLIMATE,65.288,-126.753,-1.9
PAULATUK,69.358,-124.083,-6.7
RABBIT KETTLE,61.963,-127.209,-1.1
TUKTOYAKTUK,69.433,-133.017,-5.2
YELLOWKNIFE A,62.463,-114.44,-1.2
YELLOWKNIFE-HENDERSON,62.45,-114.383,-1
LIVERPOOL BAY,69.604,-130.911,-6.5
LITTLE CHICAGO,67.179,-130.228,-3.5
LUTSELK'E CS,62.416,-110.69,-2
LOWER CARP LAKE,63.603,-113.863,-3.8
TRAIL VALLEY,68.746,-133.502,-6.2
ARVIAT A,61.094,-94.072,-4.4
BAKER LAKE CLIMATE,64.317,-96,-8
BAKER LAKE A,64.299,-96.078,-7.8
BATHURST INLET,66.838,-108.015,-6.8
KUGLUKTUK A,67.817,-115.144,-7.3
KUGLUKTUK CLIMATE,67.817,-115.135,-7.2
CORAL HARBOUR A,64.193,-83.359,-8.2
CORAL HARBOUR RCS,64.333,-83.617,-8.3
ENNADAI LAKE (AUT),61.132,-100.884,-4.9
ARVIAT CLIMATE,61.1,-94.067,-4.4
GJOA HAVEN A,68.636,-95.85,-11.5
GJOA HAVEN CLIMATE,68.636,-95.85,-9.8
HAT ISLAND,68.318,-100.087,-7.8
CAM FOUR,68.437,-89.726,-11.9
KUGAARUK CLIMATE,68.538,-89.796,-10.6
RANKIN INLET A,62.811,-92.115,-6.2
SANIKILUAQ,56.537,-79.26,0.8
SHEPHERD BAY A,68.817,-93.433,-11.1
CROKER RIVER,69.276,-119.219,-7.9
LUPIN CS,65.755,-111.246,-10
ALERT CLIMATE,82.5,-62.333,-15.3
ARCTIC BAY CS,72.993,-85.012,-8.7
BREVOORT ISLAND,63.34,-64.146,-5.9
FOX FIVE,67.536,-63.789,-8.1
QIKIQTARJUAQ CLIMATE,67.547,-64.033,-5.3
QIKIQTARJUAQ A,67.547,-64.032,-5.1
CAMBRIDGE BAY A,69.108,-105.137,-10.4
CAMBRIDGE BAY GSN,69.108,-105.138,-10.1
CAPE DORSET CLIMATE,64.231,-76.53,-3.5
CAPE DORSET A,64.23,-76.525,-6
CAPE DYER,66.65,-61.383,-8.8
CAPE HOOPER,68.473,-66.815,-7.6
CAPE PEEL WEST,69.036,-107.823,-12.3
CLYDE RIVER CLIMATE,70.483,-68.517,-7.6
CLYDE RIVER A,70.486,-68.517,-7.3
CAPE MERCY,64.958,-63.578,-8.3
DEWAR LAKES,68.65,-71.167,-10.9
EUREKA CLIMATE,79.989,-85.934,-18.5
EUREKA A,79.983,-85.933,-18.6
FORT ROSS,72.018,-94.198,-9.8
GATESHEAD ISLAND,70.633,-100.267,-9.7
HALL BEACH CLIMATE,68.776,-81.244,-8.3
HALL BEACH A,68.776,-81.243,-6.4
IQALUIT CLIMATE,63.747,-68.544,-4.8
ISACHSEN (AUT),78.792,-103.554,-13.3
PANGNIRTUNG,66.143,-65.711,-6.1
POND INLET CLIMATE,72.693,-77.958,-8.5
POND INLET A,72.689,-77.969,-8.2
REA POINT,75.377,-105.715,-14.1
RESOLUTE BAY A,74.717,-94.969,-12.9
RESOLUTE CS,74.716,-94.983,-10.3
RESOLUTION ISLAND,61.6,-64.633,-4.9
ROWLEY ISLAND,69.083,-79.033,-7.1
STEFANSSON ISLAND,73.766,-105.296,-11.8
SVARTEVAEG,81.161,-91.816,-16.2
TALOYOAK A,69.547,-93.577,-11.3
NANGMAGVIK LAKE,74.139,-119.989,-15.4
HOLMAN CS,70.761,-117.8,-9.9
SACHS HARBOUR CLIMATE,71.993,-125.254,-10.3
MOULD BAY CS,76.238,-119.347,-15.1
ABEE AGDM,54.283,-112.967,5.2
ALBERT HALL AGCM,53.113,-111.181,6
ALLIANCE AGCM,52.315,-111.779,6.6
ANDREW AGDM,53.917,-112.279,6.9
BELLSHILL AGCM,52.582,-111.465,6.7
BODO AGDM,52.124,-110.101,6.8
BRETON,53.167,-114.483,3.2
BRETON PLOTS,53.089,-114.441,6.6
BUSBY,53.997,-113.889,9
BUSBY AGCM,53.931,-113.922,6.4
CADOGAN AGCM,52.334,-110.51,6.8
CAMROSE,53.035,-112.814,6.1
CAMROSE 2,52.95,-112.8,4.4
CARNWOOD,53.234,-114.654,6.7
CONSORT AGDM,51.937,-110.713,6.4
CORONATION CLIMATE,52.074,-111.449,5.8
CRESTOMERE AGCM,52.733,-113.903,6.4
DAKOTA WEST,52.75,-113.95,7.2
DELBURNE AGCM,52.183,-113.176,7
DEWBERRY AGCM,53.659,-110.588,6.2
DONALDA SOUTH,52.517,-112.351,6.1
EDGERTON AGCM,52.778,-110.433,6.2
EDMONTON INTERNATIONAL CS,53.307,-113.606,5.9
EDMONTON BLATCHFORD,53.573,-113.517,8.4
EDMONTON NAMAO AWOS A,53.667,-113.467,6.9
EDMONTON INTL A,53.31,-113.579,6
EDMONTON VILLENEUVE A,53.668,-113.856,6.8
EDMONTON STONY PLAIN,53.548,-114.108,8.1
EDMONTON WOODBEND,53.417,-113.75,6.6
ELK ISLAND NAT PARK,53.683,-112.868,6.9
FABYAN,52.967,-111,5.3
FERINTOSH AGCM,52.744,-112.858,6
FORESTBURG PLANT SITE,52.467,-112.12,8
FORESTBURG AGCM,52.548,-112.123,6.4
FORT SASKATCHEWAN,53.717,-113.183,7.6
GILT EDGE NORTH AGCM,53.071,-110.621,7
GLENEVIS AGCM,53.833,-114.539,7.4
HALKIRK AGCM,52.116,-112.164,6.2
HEMARUKA AGCM,51.78,-111.212,5.9
HOLDEN AGDM,53.185,-112.246,5.8
HUGHENDEN AGCM,52.578,-110.784,6.6
KILLAM AGDM,52.848,-111.872,5.7
KESSLER AGCM,52.29,-111.113,6.7
KITSCOTY AGCM,53.353,-110.416,6.3
LEGAL AGCM,54.003,-113.474,7.4
LINDBERGH AGDM,53.943,-110.579,5.5
LLOYDMINSTER,53.309,-110.073,6.6
LLOYDMINSTER A,53.309,-110.073,6.3
MANNVILLE AGCM,53.456,-111.255,6.5
MUNDARE AGDM,53.567,-112.3,6.8
MYRNAM AGCM,53.72,-111.114,6.6
NEW SEREPTA AGCM,53.262,-113.165,6.1
OLIVER AGDM,53.65,-113.35,7.3
RADWAY AGCM,53.995,-112.879,6.1
RANFURLY AUTO,53.425,-111.726,6.6
RIBSTONE SOUTH AGCM,52.587,-110.343,6.6
RIVERCOURSE AGCM,53.019,-110.102,6.2
ROCKY MTN HOUSE (AUT),52.421,-114.912,6
ROSALIND AGCM,52.78,-112.428,6.3
ST. LINA AGCM,54.282,-111.453,6.6
ST. PAUL AGCM,54.011,-111.272,4.9
SEDALIA AGCM,51.59,-110.755,6.5
SEDGEWICK TOWN,52.783,-111.7,7.3
SHONTS AGCM,53.333,-112.539,6.6
SMOKY LAKE AGDM,54.278,-112.499,6.3
SPONDIN AGCM,51.816,-111.683,6.2
STETTLER AGDM,52.347,-112.596,7
THORSBY AGCM,53.217,-113.895,6.4
TOMAHAWK AGDM,53.439,-114.718,6.4
TULLIBY LAKE AGCM,53.664,-110.081,6
TWO HILLS AGDM,53.625,-111.678,5.4
VERMILION AGDM,53.344,-110.882,5.6
VIKING AGCM,53.182,-111.732,6.6
VIKING NORTH 3,53.283,-111.767,5.7
VILNA AGCM,54.13,-111.921,5.9
VIOLET GROVE CS,53.144,-115.126,6.8
VEGREVILLE,53.505,-112.098,6.5
WETASKIWIN AGCM,52.98,-113.444,5
EDMONTON STONY PLAIN CS,53.547,-114.108,7.8
ESTHER 1,51.67,-110.206,6.7
UNIVERSITY OF ALBERTA METABOLIC CENTRE,53.517,-113.533,8.8
WAINWRIGHT CFB AIRFIELD 21,52.829,-111.096,6.6
ACADIA VALLEY,51.066,-110.317,8.1
ATLEE AGCM,50.81,-111.006,8.1
BEISEKER AGCM,51.379,-113.357,6.1
BIG VALLEY AGCM,51.998,-112.803,6.8
CRAIGMYLE AGCM,51.775,-112.252,7
CRAIGMYLE,51.767,-112.283,7.5
DRUMHELLER EAST,51.445,-112.677,7.7
HESPERO AGCM,52.31,-114.486,5.5
HUSSAR AGDM,51.183,-112.5,7
LACOMBE CDA 2,52.449,-113.756,6
LEEDALE AGDM,52.553,-114.473,5
LINDEN AGCM,51.619,-113.656,5.5
MORRIN AGDM,51.66,-112.675,6.4
OLDS AGDM,51.759,-114.085,6.9
OYEN AGDM,51.383,-110.35,7.9
POLLOCKVILLE AGDM,51.125,-111.705,6.4
PRENTISS,52.433,-113.6,6.8
RED DEER REGIONAL A,52.182,-113.894,5.8
SCHULER AGDM,50.307,-110.091,8.3
THREE HILLS,51.768,-113.206,5.6
SUNDRE A,51.778,-114.683,5.6
WIMBORNE AGCM,51.936,-113.591,6.8
AZURE,50.512,-114.013,7.3
BARNWELL AGDM,49.8,-112.3,8.2
BARONS AGCM,50.026,-113.224,6.8
BASSANO AGCM,50.893,-112.465,7
BLACK DIAMOND,50.707,-114.152,7.2
BLOOD TRIBE AGDM,49.567,-113.05,7.5
BOW ISLAND,49.734,-111.45,8.8
BOW ISLAND IRRIGATION AGDM,49.867,-111.383,8.5
BROCKET AGDM,49.617,-113.817,9
BROOKS,50.555,-111.849,7.4
CALGARY INTL A,51.123,-114.013,8
CALGARY INT'L CS,51.109,-114.014,8
CARDSTON,49.201,-113.286,9.1
CARWAY,49.001,-113.376,8
CHAMPION AGDM,50.282,-113.35,7.6
CLARESHOLM,50.004,-113.639,7.9
COP UPPER,51.076,-114.222,8.1
ENCHANT AGDM,50.183,-112.433,7.8
ETZIKOM AGCM,49.553,-111.054,7.8
FINCASTLE AGDM,49.8,-112.033,9.1
FOREMOST AGDM,49.483,-111.486,8.4
FORT MACLEOD AGCM,49.786,-113.379,8.2
GLEICHEN AGCM,50.934,-112.941,7.2
GRASSY LAKE,49.874,-111.733,9.1
IRON SPRINGS AGDM,49.9,-112.733,8.3
IRVINE AGCM,49.989,-110.261,9.1
LETHBRIDGE,49.63,-112.799,8.7
LETHBRIDGE CDA,49.695,-112.768,9.4
LETHBRIDGE DEMO FARM AGDM,49.683,-112.75,8.7
MEDICINE HAT,50.019,-110.721,8.8
MEDICINE HAT RCS,50.025,-110.717,9
MOSSLEIGH AGCM,50.673,-113.349,7
NIER AGDM,51.369,-114.099,7.6
PINCHER CREEK,49.521,-113.997,8.4
PINCHER CREEK CLIMATE,49.522,-114.005,8.4
QUEENSTOWN,50.606,-112.983,7.4
QUEENSTOWN,50.598,-112.803,8.1
RAYMOND AGDM,49.483,-112.683,8.9
ROLLING HILLS AGCM,50.265,-111.701,6.7
ROSEMARY AGDM,50.833,-112.05,5.8
SEVEN PERSONS AGDM,49.917,-110.917,8.5
STANDARD AGCM,51.228,-112.982,7.9
STAVELY AAFC,50.183,-113.883,8.7
STRATHMORE AGDM,51.033,-113.283,7.7
TABER,49.792,-112.124,9.1
TRAVERS AGCM,50.304,-112.863,8.9
VAUXHALL CDA CS,50.05,-112.133,8.3
WILDCAT HILLS,51.269,-114.721,6.4
WRENTHAM AGDM,49.5,-112.117,9.1
OKOTOKS,50.729,-113.961,8.1
PICTURE BUTTE WEST,49.871,-112.788,8.1
DEL BONITA AGDM,49.05,-112.817,8.1
MANYBERRIES AGCM,49.364,-110.678,6.9
MASINASIN AGDM,49.137,-111.652,8.9
MILK RIVER,49.133,-112.05,8.1
ONEFOUR CDA,49.117,-110.467,8.2
PAKOWKI LAKE AGCM,49.225,-111.126,9.4
BANFF CS,51.193,-115.552,6.3
BEAVER MINES,49.468,-114.175,7.9
BOW VALLEY,51.083,-115.067,7.5
CROWSNEST,49.628,-114.482,7.4
JASPER WARDEN,52.926,-118.03,6.3
KANANASKIS,51.028,-115.035,6
KANANASKIS POCATERRA,50.713,-115.12,4.9
NORDEGG CS,52.492,-116.04,6.1
PEKISKO,50.368,-114.416,6.3
WATERTON PARK GATE,49.131,-113.809,9.1
NAKISKA RIDGETOP,50.943,-115.19,3.5
ATHABASCA AGCM,54.635,-113.382,6.9
ATMORE AGDM,54.782,-112.825,5.4
BARRHEAD CS,54.095,-114.448,6.4
BRULE BLACK CAT,53.35,-117.867,6.2
CAMPSIE AUTO,54.131,-114.678,5.7
DAPP AGDM,54.317,-113.95,5.7
EDSON,53.579,-116.465,4.7
EDSON CLIMATE,53.58,-116.453,5
ENTWISTLE,53.6,-114.983,7.2
EVANSBURG AGCM,53.573,-115.124,7.6
FORT ASSINIBOINE AGCM,54.41,-114.769,6
FORT MCMURRAY CS,56.651,-111.213,5.3
FORT MCMURRAY A,56.653,-111.223,5.6
HENDRICKSON CREEK,53.795,-118.447,4
HIGH PRAIRIE AGDM,55.396,-116.479,5.8
ISLAND LAKE SOUTH,54.821,-113.543,6.4
LAC LA BICHE CLIMATE,54.769,-112.024,6.7
MILDRED LAKE,57.041,-111.559,6.3
RICH LAKE AGDM,54.5,-111.7,5.1
SLAVE LAKE,55.293,-114.777,6.6
SLAVE LAKE RCS,55.293,-114.777,6.3
TAWATINAW AGCM,54.3,-113.52,7.1
WHITECOURT,54.14,-115.784,6.8
WHITECOURT A,54.144,-115.787,6.3
WILLOW CREEK 1,53.386,-118.348,3.1
BEAVERLODGE RCS,55.197,-119.396,5.7
BROWNVALE AGCM,56.118,-117.886,6.3
EAGLESHAM AGCM,55.808,-117.887,6.4
EGG ISLAND,58.981,-110.439,4.2
FAIRVIEW AGDM,56.081,-118.439,5.1
FORT CHIPEWYAN,58.767,-111.117,2.8
FORT CHIPEWYAN RCS,58.767,-111.117,2.8
FORT VERMILION,58.382,-116.04,3.1
GRANDE PRAIRIE A,55.18,-118.885,5.5
HAWK HILLS AGCM,57.265,-117.298,4.7
HIGH LEVEL,58.622,-117.165,2.9
HIGH LEVEL A,58.621,-117.165,3
JEAN COTE AGCM,55.913,-117.12,6.4
LA CRETE AGCM,58.172,-116.343,3.9
LA GLACE AGCM,55.422,-119.255,6.5
MANNING AGDM,56.974,-117.451,5.5
CLEARDALE AGDM,56.314,-119.745,4.5
PEACE RIVER A,56.227,-117.448,5.3
PEORIA AGDM,55.621,-118.293,5.8
RED EARTH,56.552,-115.278,5.4
RYCROFT AGCM,55.777,-118.668,5.8
SAVANNA AGCM,56.076,-119.345,5.6
SIMONETTE,54.425,-117.741,7.3
SPIRIT RIVER AUTO STATION,55.695,-119.23,6.3
TEEPEE CREEK AGCM,55.352,-118.408,5
VALLEYVIEW AGDM,55.098,-117.199,6.5
GARDEN RIVER,58.711,-113.866,3.1
COLD LAKE A,54.417,-110.283,7.5
DUPRE AGCM,54.367,-110.868,5.9
BRATT'S LAKE CLIMATE,50.201,-104.71,7.4
