 Pioneer, 170 Fourth Ave, Louth St," St Catharines, ON L2R 6P9",Phone:  905-682-1482,77.2,86.2,93.7,90.6,2016-01-26 12:50
 Pioneer, 7209 Drummond Rd, McLeod Rd," Niagara Falls, ON L2G 4P7",Phone:  905-357-9582,82.7,104.9,112.4,91.6,2016-01-26 12:50
 Gales,  5641 Stanley Ave, Emery St," Niagara Falls, ON L2G 3X3",Phone:  905-358-0233,83.3,99.9,101.9,89.6,2016-01-26 12:50
 Shell, 5460 Ferry St, Stanley Ave  ," Niagara Falls, ON L2G 1S1",Phone:  905-354-0155,82.9,95.9,102.9,99.9,2016-01-26 12:50
 Gales, 6644 Lundy's Ln, Carlton Ave," Niagara Falls, ON L2G 1V2",Phone:  905-357-9467,83.3,---,---,---,2016-01-26 12:50
 Esso, 6192 Lundy's Ln, Drummond Rd," Niagara Falls, ON L2G 1T1",Phone:  905-353-0020,83.0,99.9,100.9,---,2016-01-26 12:50
 7-Eleven, 7270 Drummond Rd, McLeod Rd," Niagara Falls, ON L2G 7B5",Phone:  (905) 356-4417,82.7,---,---,---,2016-01-26 12:50
 Gas Bar, 6095 Dunn St, Locus Ave," Niagara Falls, ON L2G 2P3",Phone:  905-357-9720,83.5,---,---,---,2016-01-26 12:50
 Gales, 7801 Portage Rd, Norton St," Niagara Falls, ON L2G 5Y7",Phone:  905-295-6323,83.3,88.5,---,91.6,2016-01-26 12:50
 Petro-Canada, 7950 McLeod Rd, Pin Oak Dr," Niagara Falls, ON L2E 6S5",Phone:  905-354-1798,83.0,93.0,99.0,89.9,2016-01-26 12:50
 Petro-Canada, 7307 Oakwood Dr, McLeod Rd," Niagara Falls, ON L2E 6S5",Phone:  905-358-7882,83.0,93.0,99.0,99.6,2016-01-26 12:50
 Esso, 6873 McLeod Rd, Dorchester Rd," Niagara Falls, ON L2G 3G8",Phone:  905-354-4151,83.0,93.0,99.0,99.6,2016-01-26 12:50
 Canadian Tire, 6840 McLeod Rd, Dorchester Rd," Niagara Falls, ON L2G 3G6",Phone:  905-357-0014,83.0,91.9,96.9,---,2016-01-26 12:50
 Gales, 5014 Drummond Rd, Scott St," Niagara Falls, ON L2E 6E3 ",Phone:  905-354-2616,84.9,107.9,107.9,---,2016-01-26 12:50
 Shell, 4790 Dorchester Rd, Morrison St," Niagara Falls, ON L2E 6N9",Phone:  905-356-0732,84.9,96.9,102.9,---,2016-01-26 12:50
 Petro-Canada, 5204 Stanley Ave, McRae St," Niagara Falls, ON L2E 1Y7",5233 Stanley Ave,84.9,---,---,---,2016-01-26 12:50
 Gales, 7537 Thorold Stone Rd, Montrose Rd," Niagara Falls, ON L2H 1A1",Phone:  905-354-3171,84.9,94.9,129.9,89.6,2016-01-26 12:50
 Petro-Canada, 6876 Thorold Stone Rd, Dorchester Rd," Niagara Falls, ON L2J 1B4",Phone:  905-374-2300,84.9,96.9,112.7,---,2016-01-26 12:50
 Gales, 6331 Thorold Stone Rd, St Peter Ave," Niagara Falls, ON L2J 1A9",Phone:  905-356-6523,84.9,96.9,112.7,96.6,2016-01-26 12:50
 Canadian Tire, 7624 Thorold Stone Rd, Montrose Rd," Niagara Falls, ON L2H 1A2",Phone:  905-356-2123,84.9,92.9,97.9,91.6,2016-01-26 12:50
 Gales, 5233 Stanley Ave, Valley Way," Niagara Falls, ON L2E 7C2",Phone:  905-356-5536,84.9,---,---,---,2016-01-26 12:50
 Gales, 4845 Bridge St, First Ave," Niagara Falls, ON L2E 2R6",Phone:  905-356-4210,84.9,102.9,115.9,---,2016-01-26 12:50
 Petro-Canada, 8209 Lundy's Ln, Kalar Rd," Niagara Falls, ON L2H 1H3",Phone:  (905) 371-2552,85.9,---,---,---,2016-01-26 12:50
 Esso, 8214 Lundy's Ln, Kalar Rd," Niagara Falls, ON L2H 1H1",Phone:  905-357-5221,86.9,---,---,---,2016-01-26 12:50
 Gales, 1487 Niagara Stone Rd, Four Mile Creek Rd," Niagara-on-the-Lake, ON L0S 1J0 ",Phone:  905-468-4432,86.6,---,---,92.9,2016-01-26 12:50
 Petro-Canada, 459 Mississauga St, Mary St," Niagara-on-the-Lake, ON L0S 1J0 ",Phone:  905-468-2635,86.6,---,---,---,2016-01-26 12:50
 Gales, 1353 York Rd, Tanbark Rd," Niagara-on-the-Lake, ON L0S 1J0",Phone:  905-262-5181,86.7,---,---,94.9,2016-01-26 12:50
 Husky, 615 York Rd, Townline Rd," Niagara-on-the-Lake, ON L0S 1J0",Phone:  905-684-1128,86.9,95.9,102.9,92.9,2016-01-26 12:50
 Esso, 491 York Rd, Glendale Ave," Niagara-on-the-Lake, ON L0S 1J0",Phone:  905-684-1079,92.9,100.9,106.9,99.9,2016-01-26 12:50
